Title of Article,Number of Citations,First Author Last Name,Year of Publication (YYYY)
Large fluctuations but constant mean temperatures allow corals to persist in intertidal rock pools on the east coast of South Africa,15,"Smit, Kaylee",2017
"An investigation of the calcification response of the scleractinian coral Astrangia poculata to elevated pCO2 and the effects of nutrients, zooxanthellae and gender",58,"Holcomb, Michael",2012
A simple temperature-based model predicts the upper latitudinal limit of the temperate coral Astrangia poculata,45,"Dimond, James",2013
"Temperature and symbiosis affect lesion recovery in experimentally wounded, facultatively symbiotic temperate corals",26,"Burmester, Elizabeth",2017
Adaptive signatures in thermal performance of the temperate coral Astrangia poculata,38,"Aichelman, Hannah",2019
Characterizing environmental stress responses of aposymbiotic Astrangia poculata to divergent thermal challenges,21,"Wuitchik, Daniel",2021
Uncovering the Effects of Symbiosis and Temperature on Coral Calcification,2,"Dellaert, Zoe",2022
Monitoring coral health to determine coral bleaching response at high latitude eastern Australian Reefs: An applied model for a changing climate,32,"Dalton, Steven",2011
Refugia under threat: Mass bleaching of coral assemblages in high-latitude eastern Australia,55,"Kim, Sun",2019
"Linking population size structure, heat stress and bleaching responses in a subtropical endemic coral",15,"Lachs, Liam",2021
"The influence of irradiance on tolerance to high and low temperature stress exhibited by Symbiodinium in the coral, Pocillopora damicornis, from the high-latitude reef of Lord Howe Island",26,"Wicks, Laura",2010
Photoacclimatory and photoprotective responses to cold versus heat stress in high latitude reef corals,14,"Pontasch, Stefanie",2017
Successive marine heatwaves cause disproportionate coral bleaching during a fast phase transition from El Nino to La Nina,43,"Dalton, Steven",2020
Calcification and organic productivity at the world's southernmost coral reef,0,"Davis, Kay",2020
Thylakoid fatty acid composition and response to short-term cold and heat stress in high-latitude Symbiodiniaceae,2,"Oakley, Clinton",2022
Bleaching Susceptibility and Resistance of Octocorals and Anemones at the Worldâ€™s Southern-Most Coral Reef,8,"Steinberg, Rosemary",2022
Physiological resilience of a temperate soft coral to ocean warming and acidification,21,"Lopes, Ana",2018
Distribution of zooxanthellate zoantharians in the Canary Islands: Potential indicators of ocean warming,10,"López, Cataixa",2020
Effects of low pH and high temperature on two Palythoa spp. and predatorâ€“prey interactions in the subtropical eastern Atlantic,7,"López, Cataixa",2021
In situ assessment of the daily primary production of the temperate symbiotic coral Cladocora caespitosa,17,"Ferrier-Pages, Christine",2013
Physiological performance of the cold-water coral Dendrophyllia cornigera reveals its preference for temperate environments,35,"Gori, Andrea",2014
Impact of bleaching on the coral Cladocora caespitosa in the eastern Adriatic Sea,30,"Kružić, Peter",2014
Experimental evidence of the synergistic effects of warming and invasive algae on a temperate reef-builder coral,52,"Kersting, Diego",2015
"Mass mortality events of the coral Balanophyllia europaea (Scleractinia, Dendrophylliidae) in the Mljet National Park (eastern Adriatic Sea) caused by sea temperature anomalies",21,"Kružić, Peter",2015
Regional and local environmental conditions do not shape the response to warming of a marine habitat-forming species,34,"Crisci, Caroline",2017
Reproductive output of a non-zooxanthellate temperate coral is unaffected by temperature along an extended latitudinal gradient,4,"Airi, Valentina",2017
Response of the temperate scleractinian coral Cladocora caespitosa to high temperature and long-term nutrient enrichment,12,"Hadjioannou, Louis",2019
Response diversity in Mediterranean coralligenous assemblages facing climate change: Insights from a multispecific thermotolerance experiment,29,"Gómez-Gras, Daniel",2019
The Yellow Coral Dendrophyllia cornigera in a Warming Ocean,27,"Castellan, Giorgio",2019
Reproduction of the Azooxanthellate Coral Caryophyllia inornata Is Not Affected by Temperature Along an 850 km Gradient on the Western Italian Coast,3,"Marchini, Chiara",2020
Lethal and sublethal effects of thermal stress on octocorals early life-history stages,1,"Viladrich, Núria",2022
"What's the key for success? Translocation, growth and thermal stress mitigation in the Mediterranean coral Cladocora caespitosa (Linnaeus, 1767)",2,"Roveta, Camilla",2023
Latitudinal variation in thermal tolerance thresholds of early life stages of corals,57,"Woolsey, Erika",2015
Characteristics of The Bleached Microbiome of The Generalist Coral Pocillopora damicornis from Two Distinct Reef Habitats,0,"Bergman, Jessica",2023
Reduced calcification in Western Australian corals during anomalously high summer water temperatures,40,"Foster, Taryn",2014
"Assessment of survival, mortality and recovery of coral reefs of East Kish Island, Persian Gulf",0,"Jami, Mohammad Javad",2010
Variation in calcification rate of Acropora downingi relative to seasonal changes in environmental conditions in the northeastern Persian Gulf,17,"Samiei, Jahangir Vajed",2016
Suppressed coral settlement following mass bleaching in the southern Persian/Arabian Gulf,28,"Burt, John",2020
Elevated temperature enhances normal early embryonic development in the coral Platygyra acuta under low salinity conditions,22,"Chui, Apple Pui Yi",2015
Lowered temperature and reduced salinity retarded development of early life history stages of Acropora valida from the marginal environment,19,"Chui, Apple Pui Yi",2016
High tolerance to temperature and salinity change should enable scleractinian coral Platygyra acuta from marginal environments to persist under future climate change,15,"Chui, Apple Pui Yi",2017
The 2014 summer coral bleaching event in subtropical Hong Kong,29,"Xie, James",2017
Season structures prokaryotic partners but not algal symbionts in subtropical hard corals,26,"Cai, Lin",2018
Subtropical thermal variation supports persistence of corals but limits productivity of coral reefs,24,"McIlroy, Shelby",2019
Resistance to temperature stress and Drupella corallivory may promote the dominance of Platygyra acuta in the marginal coral communities in Hong Kong,4,"Tsang, Ryan Ho Leung",2019
"Rapid decline of a relatively high latitude coral assemblage at Weizhou Island, northern South China Sea",50,"Yu, Wanjun",2019
Metabolic performance and thermal and salinity tolerance of the coral Platygyra carnosa in Hong Kong waters,6,"Dellisanti, Walter",2020
Unraveling heterogeneity of coral microbiome assemblages in tropical and subtropical corals in the south China sea,16,"Gong, Sanqiang",2020
Lower cold tolerance of tropical Porites lutea is possibly detrimental to its migration to relatively high latitude refuges in the South China Sea,5,"Huang, Wen",2022
Genetic Diversity and Structure of Tropical Porites lutea Populations Highlight Their High Adaptive Potential to Environmental Changes in the South China Sea,6,"Luo, Yanqiu",2022
Marine heatwaves impair the thermal refugia potential of marginal reefs in the northern South China Sea,18,"Mo, Shaohua",2022
Stable Symbiodiniaceae composition in three coral species during the 2017 natural bleaching event in subtropical Hong Kong,2,"Ip, Jack Chi-Ho",2022
Effects of heat and hyposalinity on the gene expression in Acropora pruinosa larvae,2,"Chui, Apple Pui Yi",2023
Seasonal drivers of productivity and calcification in the coral Platygyra carnosa in a subtropical reef,1,"Dellisanti, Walter",2023
The Effect of Elevated CO2 and Increased Temperature on in Vitro Fertilization Success and Initial Embryonic Development of Single Male:Female Crosses of Broad-Cast Spawning Corals at Mid- and High-Latitude Locations,8,"Schutter, Miriam",2015
Mass coral bleaching of P. versipora in Sydney Harbour driven by the 2015â€“2016 heatwave,28,"Goyen, Samantha",2019
Physiological factors facilitating the persistence of Pocillopora aliciae and Plesiastrea versipora in temperate reefs of south-eastern Australia under ocean warming,3,"González-Pech, Raúl A.",2022
Coscinaraea marshae corals that have survived prolonged bleaching exhibit signs of increased heterotrophic feeding,54,"Bessell-Browne, Pia",2014
"Perennial growth of hermatypic corals at Rottnest Island, Western Australia (32Â°S)",41,"Ross, Claire",2015
Marine heatwave causes unprecedented regional mass bleaching of thermally resistant corals in northwestern Australia,159,"Le Nohaïc, Morane",2017
Mechanisms and seasonal drivers of calcification in the temperate coral turbinaria reniformis at its latitudinal limits,29,"Ross, Claire",2018
Depth moderates loss of marine foundation species after an extreme marine heatwave: could deep temperate reefs act as a refuge?,37,"Giraldo-Ospina, Ana",2020
Coral communities on marginal high-latitude reefs in west australian marine parks,7,"Ross, Claire",2021
"Seasonal stability of coral-Symbiodinium associations in the subtropical coral habitat of St. Lucie Reef, Florida",33,"Klepac, Courtney",2015
Thermal stress-related spatiotemporal variations in high-latitude coral reef benthic communities,34,"Jones, Nicolas",2020
"Dispersal, genetic variation, and symbiont interaction network of heat-tolerant endosymbiont Durusdinium trenchii: Insights into the adaptive potential of coral to climate change",33,"Chen, Biao",2020
Low coral mortality during the most intense bleaching event ever recorded in subtropical Southwestern Atlantic reefs,42,"Banha, Thomás",2020
Different responses of massive and branching corals to a major heatwave at the largest and richest reef complex in South Atlantic,26,"Ferreira, Lucas Cabral Lage",2021
Heatwaves and a decrease in turbidity drive coral bleaching in Atlantic marginal equatorial reefs,0,"Lucas, Caroline",2023
Heterotrophy mitigates the response of the temperate coral Oculina arbuscula to temperature stress,46,"Aichelman, Hannah",2016
"Increasing coral calcification in Orbicella faveolata and Pseudodiploria strigosa at Flower Garden Banks, Gulf of Mexico",12,"Manzello, Derek",2021
Response of a temperate coral to temperature stress: A comparison of populations across sites,0,"Johnston, Nicole",2023
Heat challenge elicits stronger physiological and gene expression responses than starvation in symbiotic Oculina arbuscula,2,"Rivera, Hanny",2023
Rapid poleward range expansion of tropical reef corals in response to rising sea surface temperatures,510,"Yamano, Hiroya",2011
The northern limit of corals of the genus Acropora in temperate zones is determined by their resilience to cold bleaching,30,"Higuchi, Tomihiko",2015
"Symbiodinium spp. associated with high-latitude scleractinian corals from Jeju Island, South Korea",31,"De Palmas, Stephane",2015
"Recruitment of the subtropical coral Alveopora japonica in the temperate waters of Jeju Island, South Korea",38,"Denis, Vianney",2015
The potential role of temperate Japanese regions as refugia for the coral Acropora hyacinthus in the face of climate change,59,"Nakabayashi, Aki",2019
"Unique combinations of coral host and algal symbiont genotypes reflect intraspecific variation in heat stress responses among colonies of the reef-building coral, Montipora digitata",19,"Kavousi, Javid",2020
Physiological plasticity of corals to temperature stress in marginal coral communities,14,"Keshavmurthy, Shashank",2021
"Simplification, not ""tropicalization"", of temperate marine ecosystems under ocean warming and acidification",31,"Agostini, Sylvain",2021
Transient amplification enhances the persistence of tropicalising coral assemblages in marginal high-latitude environments,9,"Cant, James",2022
"The reef coral Siderastrea stellata thriving at its range limit: Population structure in Arraial do Cabo, southeastern Brazil",18,"Lima, Laís",2016
Temperature-driven secondary competence windows may increase the dispersal potential of invasive sun corals,9,"Barbosa, Andreia",2019
"Reef on the edge: resilience failure of marginal patch coral reefs in Eastern Arabian Sea under recurrent coral bleaching, coral diseases, and local stressors",0,"De, Kalyan",2023
Variable responses of benthic communities to anomalously warm sea temperatures on a high-latitude coral reef,45,"Bridge, Tom",2014
Expansion of corals on temperate reefs: direct and indirect effects of marine heatwaves,63,"Tuckett, Chenae",2017
The third global coral bleaching event on the marginal coral reefs of the southwestern indian ocean and factors that contribute to their resistance and resilience,3,"Porter, Sean",2021
Oceanic patterns of thermal stress and coral community degradation on the island of Mauritius,13,"McClanahan, Tim",2021
Potential geographic shifts in the coral reef ecosystem under climate change,4,"Chaudhary, Chhaya",2023
Continent-wide declines in shallow reef life over a decade of ocean warming,20,"Edgar, Graham",2023
